,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
54,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,
55,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-Wait,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Accepted-In Progress,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Unmatched-Unmatched,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Accepted-In Progress,Unmatched-Unmatched,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,
72,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-Wait,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,
77,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,
78,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Accepted-In Progress,Unmatched-Unmatched,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,
88,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,
105,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-Assigned,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,Accepted-In Progress,Completed-Closed,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,
108,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-Assigned,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,
111,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,
116,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,
117,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-Wait,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Completed-Closed,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Accepted-In Progress,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Queued-Awaiting Assignment,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-Assigned,Accepted-Assigned,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,
125,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,
126,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-Assigned,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-Assigned,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,
132,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,
133,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,
136,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-Assigned,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,
137,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-Assigned,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,
139,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-Wait,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
