,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
89,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
90,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
91,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
92,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
93,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
94,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
95,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
96,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
97,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
98,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
99,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
100,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
101,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Create SW anomaly,Resolve ticket,Closed,,,,,,,
102,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
103,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
104,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
105,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
106,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
107,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
108,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
109,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
110,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
111,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
112,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
113,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Closed,,,,,,,,,
114,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
115,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
116,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
117,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
118,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
119,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
120,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
121,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
122,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
123,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
124,Assign seriousness,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,
125,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
126,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
127,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
128,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Closed,,,,,,,,,
129,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
130,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
131,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
132,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
133,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,
134,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
135,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
136,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
137,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
138,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
139,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
140,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
141,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
142,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
143,Assign seriousness,Take in charge ticket,Require upgrade,Wait,Resolve ticket,Closed,,,,,,,,,
144,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
145,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
146,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
147,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
148,Insert ticket,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
149,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
150,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
151,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
152,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
153,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
154,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
155,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
156,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
157,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
158,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
159,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
160,Assign seriousness,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,
161,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
162,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
163,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
164,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
165,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,,
166,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
167,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
168,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
169,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
170,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
171,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
172,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
173,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
174,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
175,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
176,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
177,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
178,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
179,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
180,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
181,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
182,Assign seriousness,Take in charge ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
183,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
184,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
185,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
186,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
187,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
188,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
189,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
190,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Take in charge ticket,Resolve ticket,Closed,,,,,,,
191,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
192,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
193,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
194,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
195,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
196,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
197,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,,
198,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
199,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
200,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
201,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
202,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
203,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
204,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
205,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
206,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
207,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
208,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
209,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
210,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
211,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
212,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
213,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
214,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
215,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
216,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
217,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,
218,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
219,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
220,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
221,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
222,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
223,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
224,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
225,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
226,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
227,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
228,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
229,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
230,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,
231,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
232,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
233,Insert ticket,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
234,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
235,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
236,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
237,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
238,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
239,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
240,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
241,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
242,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
243,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
244,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
245,Insert ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
246,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
247,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
248,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
249,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
250,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
251,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
252,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
253,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
254,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
255,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
256,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
257,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
258,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
259,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
260,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Wait,Resolve ticket,Closed,,,,,,,,
261,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
262,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
263,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
264,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
265,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
266,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
267,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,,
268,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
269,Insert ticket,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
270,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
271,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
272,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
273,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
274,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
275,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
276,Assign seriousness,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
277,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
278,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,
279,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
280,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
281,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
282,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
283,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
284,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
285,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
286,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
287,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
288,Assign seriousness,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
289,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
290,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
291,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
292,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
293,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
294,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
295,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
296,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
297,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
298,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
299,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
300,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
301,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
302,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
303,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
304,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
305,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
306,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
307,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
308,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
309,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
